wav_filename,wav_filesize,transcript
common_voice_tr_18045107.wav,155948,etkinliğe yaklaşık üç yüz bilim insanı katıldı
common_voice_tr_18238282.wav,178988,bdoksan iki bu açıdan hangi noktada duruyor
common_voice_tr_18238284.wav,171308,anketlerden bir sonuç çıkmadı
common_voice_tr_18238285.wav,161324,gelecekte ne tür adımların atılması bekleniyor
common_voice_tr_19012483.wav,263468,bunların şu anki fiyatları yedi virgül yetmiş ve yirmi iki virgül yirmi avro
common_voice_tr_19012481.wav,175148,ancak ülke bunu henüz yapmış değil
common_voice_tr_18372002.wav,111404,bu yasada yeni olanlar nedir
common_voice_tr_18372003.wav,155948,tasarının en çok tartışılan maddesi madde yedi
common_voice_tr_19125433.wav,184364,o sihirbaz değil sadece yeni seçilmiş bir lider
common_voice_tr_19125432.wav,140588,bu insanlar da iş bulmakta zorlanıyor
common_voice_tr_18282107.wav,125996,ankara tedbiri elden bırakmıyor
common_voice_tr_18282109.wav,114476,bu girişimin amacı nedir
common_voice_tr_17349212.wav,114476,terim sıralamada yedinci oldu
common_voice_tr_17349213.wav,158252,bu tanıklar sanığı fail olarak teşhis etmedi
common_voice_tr_18351169.wav,145964,duruşmanın gelecek yıla sarkması bekleniyor
common_voice_tr_18351170.wav,139820,etkinlik on beş mayıs'a kadar devam edecek
common_voice_tr_18351172.wav,120620,o ülkeden herhangi bir tepki geldi mi
common_voice_tr_18282110.wav,95276,şimdi ise bu zorunluluk ortadan kalktı
common_voice_tr_18669321.wav,191276,ancak slaveski istifa etmeyi reddetti
common_voice_tr_18669322.wav,122924,parça karışık tepkiler aldı
common_voice_tr_19652461.wav,125228,ayrıca iç kurumsal meselelerle de uğraşıyor
common_voice_tr_19652457.wav,176684,her zaman olduğu gibi en iyi çocuklarımız gitti
common_voice_tr_17352355.wav,217388,ücretlerin kaldırılması her iki ülkenin de ekonomik gelişimine fayda sağlar mı
common_voice_tr_18259340.wav,140588,siz de aynı fikirde misiniz
common_voice_tr_18259339.wav,132140,ancak iyi haberler de yok değil
common_voice_tr_18259338.wav,130604,bu güne badnik adı verilir
common_voice_tr_17352356.wav,132908,fakat herkes aynı fikirde değil
common_voice_tr_17352357.wav,115244,şimdi onu zar zor hatırlıyor
common_voice_tr_19584088.wav,232748,biz realiteyi dikkate alıyoruz
common_voice_tr_19584089.wav,150572,bu durum kosova'yı ne şekilde etkileyecek
common_voice_tr_19584090.wav,164396,kim demiş futbol yalnızca erkeklerin ilgisini çeker diye
common_voice_tr_19336947.wav,178988,orta büyüklükteki bir fırın tepsisini yağlayın
common_voice_tr_19584092.wav,146732,son olarak da yunanistan bir dünya markasıdır
common_voice_tr_19336949.wav,169004,saldırganların hiçbiri tespit edilemedi
common_voice_tr_18067261.wav,187436,neden kuzeye güneyden farklı muamele edilsin
common_voice_tr_18067263.wav,195116,avrupa ise gırtlağına kadar borca batmış durumda
common_voice_tr_19336951.wav,153644,konsere makedonya'dan binlerce kişi katıldı
common_voice_tr_18067264.wav,151340,bir anda bütün coşku yok oldu
common_voice_tr_18372086.wav,159020,operasyon pazar günü şafak sularında başlatıldı
common_voice_tr_18372085.wav,172844,fakat ivica farklı düşünüyor
common_voice_tr_18372087.wav,125228,ancak her şey o kadar kolay değil
common_voice_tr_18372089.wav,150572,bu yüzden meclis çalışmaları durmuş durumda
common_voice_tr_17413278.wav,96044,sırada diğer kamu işletmeleri var
common_voice_tr_18901423.wav,161324,fakat yugoslavya bir gün parçalanıvermiş
common_voice_tr_18901422.wav,98348,bir amacımız yok
common_voice_tr_17526172.wav,142124,bu reform ne kadar sürecek
common_voice_tr_18901424.wav,175148,fakat hala bariz bir ırk ayrımcılığı mevcut
common_voice_tr_17526171.wav,194348,diğer yetkililer bu tür endişeleri paylaşmadılar
common_voice_tr_19433426.wav,167468,bu arada boykot edenler yalnızca sırplar değildi
common_voice_tr_19433427.wav,135980,aynı durum ihtiyacı olanlar için de geçerli
common_voice_tr_19433428.wav,159020,gotovina iki bin bir ortasından beri kanundan kaçıyor
common_voice_tr_19948742.wav,251180,takım finallere yükselecek on iki takımdan biri
common_voice_tr_19948743.wav,198188,konser günü tek sorun hava durumu değildi
common_voice_tr_19948745.wav,182060,bu günlerdeyse değişim rüzgarları hissediliyor
common_voice_tr_19433429.wav,121388,bazı şeyleri değiştirmeye başlayan insanlar var
common_voice_tr_18303826.wav,313388,bilim insanı bunu neden değiştirmek gerekiyor ki diye soruyor
common_voice_tr_18303827.wav,129068,peki ama neden
common_voice_tr_18303828.wav,140588,tavuk eti satışları yüzde doksan düştü
common_voice_tr_18303829.wav,103724,yine de hala kırılgan
common_voice_tr_17986291.wav,115244,antikitera mekanizmasının bir kopyası
common_voice_tr_17986293.wav,129068,bu kişilerin çoğu yaşlılar ve çocuklardı
common_voice_tr_17526373.wav,218924,bu bizi her koşulda birleştiren bir şey
common_voice_tr_17986292.wav,159788,haber üsküp'te coşkuyla karşılandı
common_voice_tr_17526372.wav,161324,belge bir ocak iki bin sekizde yürürlüğe girecek
common_voice_tr_17526377.wav,136748,sergi on yedi haziran'da sona erecek
common_voice_tr_18367889.wav,148268,fakat ilişkiler her zaman bu kadar pembe değil
common_voice_tr_18367892.wav,111404,kitaptaki kişi ben olabilirdim
common_voice_tr_19481862.wav,178988,konseyin yüz yirmi üyesi iki hafta içinde belirlenecek
common_voice_tr_19481866.wav,107564,kent sakinleri de aynı derecede heyecanlılar
common_voice_tr_19481863.wav,119084,kazı çalışmaları yaklaşık altı ay sürecek
common_voice_tr_19481865.wav,155948,biri gitti geriye altı yüz binden fazla kişi kaldı
common_voice_tr_19736077.wav,140588,hırvatlar fuara on üç buluşla katıldılar
common_voice_tr_19736078.wav,113708,manastır şu anda elden geçiriliyor
common_voice_tr_18702508.wav,303404,her iki lider de farklı çalışma tarzlarına sahip
common_voice_tr_18702509.wav,175148,bunun başarıp başaramamak ise onlara kalmış
common_voice_tr_18702511.wav,111404,bunlardan altmışı şüpheli bulundu
common_voice_tr_18376685.wav,125996,armagedon küsmüş
common_voice_tr_18565606.wav,175148,bir diğer sorun da kıbrıs
common_voice_tr_18565608.wav,142124,teklif sunma süresi otuz eylül'de sona eriyor
common_voice_tr_18376686.wav,149804,muhalefet partileri bu hareketi sorguladılar
common_voice_tr_18377333.wav,126764,travnik'teki evin içi
common_voice_tr_18565609.wav,121388,makedonya'daki tepkiler karışık oldu
common_voice_tr_18565610.wav,107564,buralarda nadiren fatura kesiliyor
common_voice_tr_18377334.wav,155948,kahvelerimizi bitirdik ve arabaya geri yürüdük
common_voice_tr_17788973.wav,145964,kamyon durduruldu mühürlendi ve arandı
common_voice_tr_17788974.wav,129836,sırbistan'da siyasi değişimin lideri mi doğuyor
common_voice_tr_17788976.wav,77612,artık hapis cezasını biliyor
common_voice_tr_17788977.wav,102188,yeni büyüme motorlarına ihtiyacımız var
common_voice_tr_18348020.wav,215084,forumda yirmi altı ülkeden temsilciler yer alacak
common_voice_tr_18348021.wav,142124,eskiden insanlar daha neşeliydi
common_voice_tr_18348019.wav,169004,festivale sekiz slav ülkesi katıldı
common_voice_tr_18425502.wav,155948,çift anavatanlarından ayrılmayı düşünüyor
common_voice_tr_18425503.wav,148268,kosova'da kasım ayında seçimler yapılacak
common_voice_tr_18425504.wav,167468,bu çerçevede pek çok ev yenileniyor
common_voice_tr_18425505.wav,119084,sonucu çok az kişi tahmin etmişti
common_voice_tr_17416284.wav,157484,karadağ yeni bir monako olabilir mi
common_voice_tr_17524311.wav,120620,şirketler maliyetleri kısıp işçi çıkarıyorlar
common_voice_tr_17416286.wav,142124,ancak bazı uzmanlar duruma şüpheyle yaklaşıyor
common_voice_tr_17524312.wav,103724,merkez bankası üzerinde ne kadar politik baskı var
common_voice_tr_17524898.wav,69164,bu kez durum farklı
common_voice_tr_17524901.wav,84524,yasaya uymayanları ise ağır cezalar bekliyor
common_voice_tr_17524899.wav,67628,ancak seydiu ayrıntı vermeyi reddetti
common_voice_tr_17524900.wav,59948,elçinin ilk durağı priştine oldu
common_voice_tr_17524486.wav,102188,ancak projeye karşı olanlar da var
common_voice_tr_17524489.wav,88364,bu durumu nasıl açıklıyorsunuz
common_voice_tr_17524488.wav,103724,hevesle bu yıl farklı dedi
common_voice_tr_18509302.wav,146732,diğer ikisiyse katılmayacaklarını bildirdi
common_voice_tr_19965970.wav,132140,türkiye firmayı yedinci girişiminde satabildi
common_voice_tr_17948790.wav,142124,bundan cumhurbaşkanı bile etkilendi
common_voice_tr_19965971.wav,123692,ancak bunun için anayasa değişikliği gerekiyor
common_voice_tr_19965968.wav,135212,tutuklananların ikisi de sırp vatandaşı
common_voice_tr_17948791.wav,109868,kimin uygun olacağını ise yasalar belirler
common_voice_tr_17948792.wav,138284,benzer talepler hırvat azınlığından da geliyor
common_voice_tr_18305422.wav,161324,bu durumun devam edeceği konusunda iyimserim
common_voice_tr_17948793.wav,119084,şampiyonada on iki mayıs'a kadar on iki maç yapılacak
common_voice_tr_18305425.wav,165164,bu eski teknolojinin riskli olduğu düşünülüyor
common_voice_tr_18305423.wav,130604,ancak hala bazı engeller var
common_voice_tr_17796037.wav,109868,nadir bir sikke koleksiyonu da sergileniyor
common_voice_tr_17796039.wav,112172,anneler doğum iznindeyken tam maaş almıyorlar
common_voice_tr_17796038.wav,83756,ancak iyi haberler de yok değil
common_voice_tr_17525837.wav,117548,ashton geleceğe de baktı
common_voice_tr_17525838.wav,107564,fiyatlar da arttı
common_voice_tr_17525839.wav,140588,bir sonraki müzakere turu şubat ayında yapılacak
common_voice_tr_17421361.wav,288812,bunu yapanlara verilecek cezalar belirlendi
common_voice_tr_17525841.wav,132908,olimpiyat için sağlık sistemi de iyileştiriliyor
common_voice_tr_17421366.wav,174380,memur maaşları reel bazda yüzde altı oranında arttı
common_voice_tr_18100861.wav,157484,kapsamlı bir rapor bu yaz hazırlanacak
common_voice_tr_18100865.wav,172844,teklif sunma süresi bir nisan iki bin altıda sona eriyor
common_voice_tr_18100862.wav,192044,ancak üretim yıllık bazda yüzde on bir virgül altı geriledi
common_voice_tr_19552117.wav,131372,hepsi de suçsuz olduğunu iddia etti
common_voice_tr_19552121.wav,150572,sanatseverler de bu sonbaharı boş geçirmediler
common_voice_tr_18881725.wav,169004,çok sayıda siyasi de tutuklama olayını kınadı
common_voice_tr_18881724.wav,192044,beş yıllık proje otuz beş milyon avroya mal olacak
common_voice_tr_19034935.wav,115244,kütle kaşıktan ayrılmaya başlayana dek kavurun
common_voice_tr_19034933.wav,102188,bu bizim her gün yaşadığımız bir realite
common_voice_tr_19034936.wav,98348,bu insanlar da iş bulmakta zorlanıyor
common_voice_tr_18987850.wav,118316,burası ruhumu doyuruyor
common_voice_tr_17402985.wav,161324,beara'nın tutuklanması ortama taze kan getirdi
common_voice_tr_17402983.wav,138284,bugün kosova'da olanlar bizim için pek net değil
common_voice_tr_17402986.wav,102188,bunu akıldan çıkarmamalı
common_voice_tr_18296034.wav,155948,sanatçı yirmi altı bin avro tazminat aldı
common_voice_tr_18296037.wav,202028,sizce iki bin dokuz şirket açısından başarılı bir yıl mıydı
common_voice_tr_18296035.wav,99884,hayal kuruyor değiliz
common_voice_tr_18296036.wav,138284,bunun için geri geleceğiz
common_voice_tr_17758534.wav,176684,sırp bakan euromoney dergisi tarafından seçildi
common_voice_tr_19225772.wav,126764,proje on üç milyon avro değerinde
common_voice_tr_19225771.wav,90668,bilgim yoktu
common_voice_tr_19225773.wav,145964,bu kişiler de üçer yıl hapis cezası aldılar
common_voice_tr_19225774.wav,203564,projenin toplam maliyeti otuz bir virgül dokuz milyon avro
common_voice_tr_17425796.wav,153644,kosteliç efsanesi çok büyük bir efsane
common_voice_tr_17425798.wav,115244,restoran yaklaşık yedi yüz kişilik kapasiteye sahip
common_voice_tr_19797236.wav,226604,çekimlerin iki bin dokuz başlarında başlaması bekleniyor
common_voice_tr_19797238.wav,122924,bu gece sırbistan kutlama yapıyor
common_voice_tr_19797237.wav,145964,acelem yok bunu biliyorsunuz
common_voice_tr_19797239.wav,125228,duyuru karışık tepkiler doğurdu
common_voice_tr_17911545.wav,77612,sivil nüfus kaçtı
common_voice_tr_17911546.wav,69932,yetkililer ise aksini iddia ediyor
common_voice_tr_17911547.wav,76076,yetkililer bunları geçen ay yayınladılar
common_voice_tr_17911548.wav,79148,erken seçimlerin mayısta yapılması bekleniyor
common_voice_tr_17430811.wav,114476,ordu ve poliste izinler kaldırılacak
common_voice_tr_17945497.wav,88364,uluslararası toplum seçimleri yakından izliyor
common_voice_tr_17945500.wav,84524,ancak kamuoyu bu durumu pek de affetmiyor
common_voice_tr_17945499.wav,49964,sevgiyi hisset
common_voice_tr_17967256.wav,57644,muhtemelen hayır
common_voice_tr_17967257.wav,106028,umarım turnuvada ilerlerler
common_voice_tr_17967258.wav,96044,tesis kırk izleyiciyi ağırlayabiliyor
common_voice_tr_17964112.wav,71468,fakat ilişkiler her zaman bu kadar pembe değil
common_voice_tr_17964113.wav,86828,maksim cikuli de sağlık bakanlığına getiriliyor
common_voice_tr_17964114.wav,76844,üçlü bir ekim seçimlerinden galip çıkmıştı
common_voice_tr_18338846.wav,144428,onlar için yaptıklarınızdan memnun musunuz
common_voice_tr_18338845.wav,217388,turnuvaya on üç ülkeden doksan sporcu katıldı
common_voice_tr_18338849.wav,134444,kendisine çingene denilmesine de aldırmıyor
common_voice_tr_18373495.wav,215084,projenin toplam maliyeti yaklaşık altmış milyon avro
common_voice_tr_18373496.wav,125228,bu durumun devam edeceği konusunda iyimserim
common_voice_tr_18373498.wav,109868,yaklaşık yüzde on dokuz ise kararsız
common_voice_tr_18373499.wav,106028,ana menüde balık ve domuz eti var
common_voice_tr_17562720.wav,112940,hata payı yüzde üç ila yüzde beştir
common_voice_tr_17562722.wav,106028,ellerinizin yanmamasına dikkat edin
common_voice_tr_17562723.wav,102956,erdoğan eleştirileri reddetti
common_voice_tr_17562721.wav,78380,çok büyük bir musibet
common_voice_tr_17563255.wav,108332,esasen ülkede şu anda herşeyin fazlası var
common_voice_tr_19502700.wav,134444,sırp ve hırvat aşırılık yanlıları da var
common_voice_tr_19502705.wav,130604,ve bunun ülke ekonomisine etkisi ne olacak
common_voice_tr_19502704.wav,99884,karar ayrıntılı bir analiz sonrasında alındı
common_voice_tr_18693010.wav,207404,fenerbahçe ülker listesini kapattı
common_voice_tr_18693012.wav,157484,bizim saymaya başladığımız nokta burası
common_voice_tr_18693014.wav,178988,raporda bulgaristan'a altı tavsiyede bulunuldu
common_voice_tr_18693013.wav,140588,toplam nüfus sadece iki milyon
common_voice_tr_17413298.wav,125228,ancak yaşam standartları hala düşük
common_voice_tr_17413300.wav,106028,birbirimizle iletişim kurabiliyoruz
common_voice_tr_17413301.wav,84524,sürekli bir korku içinde yaşıyoruz
common_voice_tr_19211301.wav,318764,bunun kosova'daki genel güvenlik durumu üzerindeki etkisi ne olacaktır
common_voice_tr_19211303.wav,180524,ancak belge ileriki bir tarihte imzalanacak
common_voice_tr_17524431.wav,225068,etkinlik yirmi dokuz kasım'a kadar sürecek
common_voice_tr_17524432.wav,117548,hızlı bir ekonomik büyüme neden yeterli değil
common_voice_tr_19211307.wav,290348,diyaloğun sonuç üretmeye devam etmesini umuyorum
common_voice_tr_17524433.wav,82988,prensipte aynı
common_voice_tr_19907405.wav,210476,makedonya'da şu andaki işsizlik oranı yüzde otuz üç virgül sekiz
common_voice_tr_19907406.wav,134444,bu yatırımlarla yeni iş sahaları da doğuyor
common_voice_tr_17524435.wav,99884,kazançları iyiymiş
common_voice_tr_17524434.wav,132908,hareketi makedon hükümeti de destekledi
common_voice_tr_19907408.wav,155948,bir o kadar yaşlı da bekleme listesinde
common_voice_tr_19907407.wav,114476,daha fazlası da imar izni bekliyor
common_voice_tr_18356755.wav,295724,halk arasındaki tepkiler de şok niteliğinde
common_voice_tr_19907409.wav,160556,ne olsa herşeyin büyüyüp çiçek açtığı bir zaman
common_voice_tr_18356758.wav,138284,artık tüm bunlar değişti
common_voice_tr_18356756.wav,175148,pazar günü almanya itirazlarını geri çekti
common_voice_tr_18356761.wav,259628,sizce eski yugoslavya topraklarında medya profesyonel ve ahlaki açıdan yeterli olgunluğa ulaştı mı
common_voice_tr_17861343.wav,136748,bir diğer mesele de domuz gribiydi
common_voice_tr_18356764.wav,149804,her iki zanlı da soykırımla suçlandı
common_voice_tr_17861344.wav,130604,bir çocuğun dikkati bir saatten uzun sürmez
common_voice_tr_17861345.wav,176684,bize biraz festivalin tarihçesinden ve nasıl başladığından bahseder misiniz
common_voice_tr_17892901.wav,180524,paris'in kulesi çin'in de seddi var
common_voice_tr_17892903.wav,109868,ohri'de gece hayatı da oldukça canlı
common_voice_tr_17892902.wav,134444,şu anda trenler günde iki defa hizmet veriyor
common_voice_tr_17854648.wav,194348,bir sonraki seçimler otuz bir aralık'ta yapılacak
common_voice_tr_17854650.wav,107564,valovoi değişim umut ediyor
common_voice_tr_17854649.wav,132908,fakat bazılarının tek istediği şey hediye değil
common_voice_tr_18252191.wav,129836,kuruluş ilk defa sırbistan'a not verdi
common_voice_tr_17854651.wav,106028,proje birkaç ay içinde başlayacak
common_voice_tr_18252194.wav,145964,yasaların ağustos ayında onaylanması bekleniyor
common_voice_tr_18252193.wav,166700,bulgar takımı kıbrıs'ı üç sıfır yenerek birinci oldu
common_voice_tr_18372529.wav,163628,sergi ocak ayı sonuna kadar açık kalacak
common_voice_tr_18372526.wav,150572,operasyon altı kentte birden yürütüldü
common_voice_tr_18634888.wav,113708,bazı ikili toplantılar da yapılıyor
common_voice_tr_18634890.wav,84524,peki bunlar yeterli mi
common_voice_tr_17960756.wav,90668,seçmen katılımı yüzde elli yedi olarak gerçekleşti
common_voice_tr_17960754.wav,82988,adaylar arasındaki az fark sürpriz oldu
common_voice_tr_17960766.wav,94508,ekim iki bin beşte müzakereler başladı
common_voice_tr_17702977.wav,116780,herhangi bir şeyi kanıtlamak mümkün mü
common_voice_tr_17702979.wav,125996,muhalefet partileri bu hareketi sorguladılar
common_voice_tr_17413883.wav,126764,sizi ayakta tutan nedir
common_voice_tr_17702980.wav,132908,toplam iki yüz elli milyon avroluk yatırım yapılacak
common_voice_tr_17702978.wav,139052,ancak artık çok geçti
common_voice_tr_17413886.wav,136748,sc vatandaşlarının tepkileri karışık oldu
common_voice_tr_18372008.wav,155948,dava iki bin üç sonlarında başladı
common_voice_tr_17413885.wav,132908,berişa komşu kosova'daki duruma da değindi
common_voice_tr_18372006.wav,161324,eğitim ve danışmanlığa on mart'ta devam ettik
common_voice_tr_17413887.wav,147500,artık siyasi cinayet işlenmemesi de iyi bir şey
common_voice_tr_18372010.wav,94508,dizi harika
common_voice_tr_18275564.wav,168236,yeni tutuklamalar gelebilir
common_voice_tr_18275565.wav,167468,bugüne kadar iki yüz elli milyon ton cevher kullanıldı
common_voice_tr_18372012.wav,106028,armagedon küsmüş
common_voice_tr_18275566.wav,132908,ancak bazıları duruma şüpheyle yaklaşıyor
